a art
relativity n
relax v
release v
relevant adj
reliability n
reliable a
reliance n
relief n
relieve v
religion n
religious a
reluctant adj
rely v
remain v
remains n
remark n
remarkable a
remedy n
remember v
remind v
remote adj
removal n
remove v
render v
renew 
rent n
repair v
repeatedly ad
repent v
repetition n
replace v
report v
reporter n
represent v
representative n
reproach v
reproduce v
republic n
republican n
reputation n
request v
require v
requirement n
rescue v
research n
researcher n
resemble v
reserve v
residence n
resident n
resign v
resignation n
resist v
resistance n
resistant a
resolve v
resort v
resource n
respect v
respectful a
respective a
respectively adv
respond v
response n
responsibility n
responsible a
rest n
restaurant n
restless a
restore v
restrain v
restraint n
restrict v
restriction n
resume v
retain v
retell vt
retire v
retreat n
return v
reveal v
revenge n
review n
revise v
revolt n
revolution n
revolutionary adj
reward n
rhythm n
rib n
ribbon n
rice n
rich adj
rid n
riddle 
ride n
rider n
ridge n
ridiculous adj
rifle n
right adj
rigid a
ring n
ripe 
ripen v
rise n
risk n
rival n
river n
road n
roar v
roast v
rob v
robber n
robbery n
robe n
robot n
rock n
rocket n
rod n
role n
roll v
roller n
romantic a
roof 
room n
root n
rope n
rot n
rotary a
rotate v
rotten a
rough adj
roughly adv
round a
rouse n
routine n
row n
royal a
rub v
rubber n
rubbish n
rude a
rug n
ruin v
rule n
rumour n
run v
runner n
rural adj
rush v
Russian 
rust n
rusty a
sack n
sacred a
sacrifice n
sad adj
saddle n
sadly ad
sadness n
safe a
safely ad
safety n
sail v
sailor n
saint n
sake n
salad n
salary n
sale n
salesman n
salt n
salute v
same adj
sand n
sandwich n
sandy a
satellite n
satisfaction n
satisfactory adj
satisfy v
sauce n
saucer n
sausage n
save v
saving n
saw n
say v
scan n
scar n
scarce adj
scarcely ad
scare v
scarf n
scene n
scenery n
scent n
schedule n
scheme 
scholar n
scholarship n
school n
science n
scientific a
scientist n
scissors n
scold v
scope n
score n
scorn 
scout n
scrape v
scratch v
scream v
screen n
screw n
sea n
seal n
seaman n
seaport n
search n
season n
seat n
second second
secondary a
secondly ad
secret a
secretary n
section n
secure a
security n
seed n
seek v
seem v
seize v
seldom ad
select v
selection n
self n
selfish adj
sell v
seller n
semester n
semiconductor n
senate n
send v
senior adj
sense n
sensible a
sensitive 
separate v
separately ad
separation n
sequence n
series n
serious adj
seriously adv
servant n
serve v
service n
session n
set v
settle v
settlement n
seven num
seventeen n
seventh num
seventy num
several a
severe a
severely adv
sew v
sex n
shade n
shadow n
shady a
shake v
shall aux
shallow a
shame n
shampoo n
share n
sharp adj
sharply 
shave v
she pron
shear v
shed n
sheep n
sheet 
shelf n
shell n
shelter n
shepherd n
shield n
shift n
shilling n
shine v
ship n
shirt n
shiver v
shock n
shoe n
shoot v
shop n
shopkeeper n
shopping n
shore n
short adj
shortage n
shortcoming n
shortly ad
shot n
should aux
shoulder n
shout v
show v
shower n
shriek v
shrink v
shut v
shy a
sick n
sickness 
side n
sideways adv
sigh v
sight n
sightseeing n
sign n
signature n
significance n
significant a
silence n
silent a
silk n
silly adj
silver n
similar adj
similarly ad
simple adj
simplicity n
simplify v
simply ad
sin n
since prep
sincere adj
sing v
singer n
singular a
sink v
sir n
sister n
sit v
site n
situation n
six num
sixteen num
sixth num
sixty num
size n
skate n
sketch n
ski n
skill n
skilled a
skillful a
skim v
skin n
skirt n
sky n
slam v
slave n
slavery n
sleep v
sleepy a
sleeve n
slender a
slice n
slide n
slight a
slightly adv
slip v
slipper n
slippery a
slit n
slogan n
slope n
slow a
slowly adv
slum n
sly adj
small a
smart adj
smell v
smile v
smog n
smoke n
smooth adj
smoothly ad
snake n
snow n
snowstorm n
snowy a
so adv
so adj
soak v
soap n
sob v
sober a
soccer n
social a
socialism n
socialist n
society n
sock n
soda n
soft adj
softly ad
soil n
solar adj
soldier n
sole n
solely adv
solemn a
soluble a
solution n
solve v
some adv
somebody pron
somehow ad
someone pron
something pron
sometime ad
sometimes adv
somewhat ad
somewhere ad
son n
song n
soon ad
sophisticated a
sore adj
sorrow n
sorry adj
sort n
soul n
sound n
soup n
sour a
south n
southeast n
southern n
southwest n
sow v
spacecraft n
spaceship n
spade n
span n
Spanish adj
spare v
spark n
sparkle n
sparrow n
speak v
speaker n
spear n
special adj
specialist n
speciality n
specialize v
specially ad
specific a
specify v
specimen n
spectacle n
speech n
speed n
spell v
spend v
sphere n
spider n
spill v
spin n
spirit n
spiritual 
spit n
splash v
splendid a
spoil v
sponge n
sponsor n
spontaneous a
spoon n
sport n
sportsman n
spot n
spray n
spread v
spring n
springtime n
sprinkle v
spur n
spy n
square adj
squeeze v
squirrel n
stab v
stability n
stable adj
stack n
stadium n
staff n
stage n
stain v
stair n
staircase n
stake n
stale a
stamp n
stand n
standard n
standpoint n
star n
stare v
startle v
starve v
state n
statement n
statesman n
static a
station n
statistical adj
statue n
stay n
steadily [steady]的副词形式
ad
steady adj
steal v
steam n
steamer n
steel 
steep a
steer v
stem n
step n
stern n
steward n
stewardess n
stick n
sticky adj
stiff adj
stiffen v
still a
stimulate v
sting v
stir 
stitch n
stock n
stocking n
stomach n
stone n
stony a
stool n
stoop n
stop v
storage n
store n
storey n
storm n
stormy a
story n
stove n
straight adj
strain strain
strange 
stranger n
strap n
strategy n
straw n
strawberry n
stream n
street n
strength n
strengthen v
stress n
stretch v
strict adj
strictly ad
strike v
string n
strip v
stripe n
stroke n
strong a
strongly ad
structural a
struggle v
student n
study n
stuff n
stumble n
stupid a
style n
subject n
submarine n
submerge v
submit v
subsequent a
substance n
substantial a
substitute n
subtract v
suburb n
subway n
succeed v
success n
successful a
successfully ad
succession n
successive a
such pron
suck v
sudden a
suddenly ad
suffer v
sufficient a
sufficiently adv
sugar n
suggestion n
suit n
suitable adj
sulphur n
sum n
summarize v
summer n
sun n
sunlight n
sunny adj
sunrise n
sunset n
sunshine n
super adj
superficial a
superior a
supermarket n
supper n
supplement v
supply v
support v
suppose v
supreme adj
sure a
surely adv
surface n
surgeon n
surgery n
surname n
surprise v
surprising a
surprisingly ad
surrender v
surround v
surroundings n
survey v
survive v
suspect v
suspend v
suspicion n
sustain v
swallow n
swamp 
swan n
swarm n
sway v
swear v
sweat n
sweater n
sweep v
sweet adj
swell v
swift n
swim n
swing v
Swiss n
switch n
sword n
symbol n
sympathetic a
sympathize v
sympathy n
synthetic a
system n
systematic a
tablet n
tag v
tail n
tailor n
take v
tale n
talent n
talk n
tall adj
tame a
tan n
tank n
tap n
tape n
target n
task n
taste n
tax n
taxi n
tea n
teach v
teacher 
teaching n
team n
tear n
technical a
technician n
technique n
technology n
tedious a
teenager n
telegram n
telegraph n
telephone n
telescope n
television n
tell v
temper n
temperature n
temple n
tempt v
temptation n
ten num
tenant n
tend v
tendency n
tender v
tennis n
tense a
tent n
tenth ordinal
term n
terminal n
terrible a
terrific a
territory n
terror n
test n
text n
textbook n
textile n
than prep
thank v
that adj
the art
theatre n
their pron
theirs pron
them pron
themselves pron
then adv
theoretical a
theory n
there adv
thereby adv
therefore ad
thermometer n
these this的复数
they pron
thick adj
thickness n
thief n
thin a
thing n
think v
third num
thirdly ad
thirst n
thirsty a
thirteen num
thirty number
1
this adj
thorn n
thorough a
those pron
though conj
thought n
thoughtful a
thousand n
thread n
threat n
threaten v
three num
thrill n
thrive v
throat n
throne n
throng n
through prep
throughout prep
throw 
thrust v
thumb n
thunder n
thus ad
tick n
ticket n
tide n
tidy a
tie v
tiger n
tight adj
till prep
timber n
time n
timetable n
timid a
tin n
tiny a
tip n
tire v
tired a
tissue n
title n
toast n
tobacco n
today ad
toe 
together adv
toilet n
tolerance n
tolerate v
tomato n
tomb n
tomorrow n
ton n
tongue n
tonight n
too ad
tool n
tooth n
topic n
torch n
torrent n
tortoise n
torture n
toss v
touch v
tough adj
tour n
tourist n
toward prep
towel n
tower n
town n
toy n
trace n
track n
tractor n
trade n
tradition n
traditional a
traffic n
tragedy n
trail v
train n
training n
traitor 
tram n
tramp v
transfer v
transform v
transformation n
transformer n
transistor n
translate v
transmission n
transparent a
transport v
transportation n
trap v
travel v
tray n
treason n
treasure n
treat v
treatment n
treaty n
tree n
tremble n
tremendous adj
trend n
trial n
triangle n
tribe n
trick n
trifle n
trim v
trip 1
triumph n
troop n
tropical adj
trouble n
troublesome a
trousers n
truck n
truly ad
trumpet n
trunk n
trust n
truth n
try v
tub n
tube n
tuck n
tuition n
tumble n
tune n
tunnel n
turbine n
turbulent a
turkey n
turn v
turning n
turnip n
tutor n
twelfth ad
twelve num
twentieth num
twenty num
twice ad
twin n
twinkle v
twist v
two num
type n
typewriter n
typhoon n
typical adj
typist n
tyre n
ugly adj
ultimate adj
ultimately ad
umbrella n
unable a
unbearable a
uncertain a
uncle n
uncomfortable adj
unconscious a
uncover v
under prep
undergo v
undergraduate n
underground n
underline n
underneath prep
understand v
understanding n
undertake v
undertaking n
undoubtedly ad
uneasy a
unexpected 
unfair a
unfortunate adj
unfortunately adv
unhappy a
uniform n
union n
unique adj
unit n
unite v
unity n
universal adj
universe n
university n
unjust a
unkind adj
unknown a
unless conj
unlike a
unlikely adj
unlucky a
unnecessary a
unpleasant a
unsatisfactory a
unstable a
unsuitable a
until prep
unusual a
unusually ad
unwilling a
up a
upon prep
upper adj
upright adj
upset v
upside a
upstairs a
upward a
upwards 
urge v
urgent a
us pron
usage n
used a
useful a
useless a
user n
usual a
usually ad
utility n
utilize v
utmost a
utter v
vacant adj
vacation n
vacuum n
vague adj
vain a
valid adj
valley n
valuable adj
vanish v
vanity n
vapour n
variation n
variety n
various adj
vary v
vase n
vast adj
vegetable n
vehicle n
veil n
velocity n
velvet n
venture n
verb n
verify v
very adv
vessel n
vest n
veteran n
vex vt
via prep
vibrate v
vibration n
vice n
victim n
victorious a
victory n
video n
view n
viewpoint n
vigorous adj
village n
vine n
vinegar n
violence n
violent adj
violet n
violin n
virtually adv
virtue n
visible adj
vision n
visit v
visitor n
visual adj
vital a
vitamin n
vivid a
vocabulary n
voice n
volcano n
volleyball n
volt n
voltage n
volume n
voluntary a
vote n
voyage n
wage n
waggon v
waist n
waiter n
wake v
waken vt
walk v
wall n
wallet n
wander v
want v
war n
warm a
warmth n
warn v
wash v
waste 
watch v
water n
waterfall n
waterproof n
wave n
wavelength n
wax n
way n
weak a
weaken v
weakness n
wealth n
wealthy a
weapon n
wear n
weary a
weather n
weave n
wedding n
Wednesday n
weed n
week n
weekend n
weep n
weigh v
welcome v
weld n
welfare n
well adv
well a
west n
western a
wet a
what pron
whatever pron
wheat n
wheel n
when adv
whenever conj
where adv
wherever conj
whether conj
which pron
whichever pron
while conj
whilst conj
whip n
whirl n
whisky n
whisper v
whistle v
white adj
whitewash n
who pron
whoever pron
whole a
wholly ad
whom pron
whose pron
why ad
wicked 
wide a
widely ad
widen v
widespread a
widow n
width n
wife n
wild adj
will aux
willing a
win v
wind n
window n
wine n
wing n
winner n
winter n
wipe v
wire n
wireless adj
wisdom n
wise a
wish v
wit n
with prep
withdraw v
within prep
without prep
withstand v
witness n
wolf n
woman n
wonder v
wonderful a
wood n
wooden a
wool n
woollen adj
word n
work n
worker n
workman n
workshop n
world n
world a
worm n
worry v
worse a
worship n
worst 
worth adj
worthless adj
worthwhile a
worthy a
would aux
wound n
wrap v
wreath n
wreck n
wrist n
writer n
writing n
wrong a
X n
yard n
yawn n
yearly a
yell n
yellow adj
yesterday n
yet ad
yield v
you pron
young adj
your det
yours pron
yourself pron
youth n
youthful a
zeal n
zealous adj
zebra n
zone n
zoo n
a (缩)上午，午前
about prep
active a
advanced a
all adj
and conj
appearance n
application n
apply v
April n
area n
around adv
arrange v
arrow n
art n
as adv
attach v
August n
author n
auto n
axis 
B 公元前=before
back n
backward adj
bar v
before prep
book n
boss n
calculate v
calculator n
calendar n
camera n
cat n
ceiling n
century n
China n
combination n
compose v
confirm v
content a
continuous a
convert v
corner n
create v
current a
December n
degree n
destination n
detail n
dialog n
dismiss v
divide v
dot n
earn v
electronics n
enter v
entry n
era n
everything pron
exit n
extend v
February n
field n
finish v
forecast v
Friday n
full adj
1
gallery n
general adj
go v
grammar n
growth n
guess v
guide v
high adj
history n
hold n
idle adj
ignore v
ill n
input n
inside n
intermediate adj
international adj
interval n
January n
July n
June n
justify v
keyboard n
kind n
kiss v
lap n
last v
leader n
length n
level n
line n
lip n
load n
location n
log n
low adj
mail n
major a
man n
March n
Marxisim n
maximum n
mercury n
metric adj
microcomputer n
middle n
minimum n
minor a
minus n
mirror n
Miss n
modify v
Monday n
more det
name n
never ad
new adj
next a
no int
normal a
note n
nothing pron
November n
October n
off adv
on prep
or conj
other indef
outline n
outside n
page n
pane n
paper n
partial a
percentage n
permanent adj
perspective n
phone n
pick n
plain a
platform n
play v
plus prep
previous a
prompt adj
proof n
property n
protection n
quality n
question n
radar n
raid n
range n
raw a
read v
recorder n
refresh v
regular a
repeat v
reply v
resolution 
result n
reverse adj
Roman n
rose n
rotation n
route n
ruler n
sample n
Saturday n
scale n
scatter v
see v
sentence n
September n
setting n
shape n
sharpen v
signal n
single adj
solid adj
source n
Soviet n
space n
spelling n
split v
start n
status n
structure 
suggest v
summary n
Sunday n
table n
temporary a
Thursday n
to prep
tone n
top n
total a
translation n
transmit v
Tuesday n
Turkey n
undo v
unload v
up adv
use v
value n
van n
variable n
version n
vertical a
wait v
we pron
weekday n
weekly a
weight n
westward n
write v
year n
yes exclamation
zero n
dip v
may modal
ACT =Active
AD abbr
AT =Acid
BASIC =Beginners
Eve n
god n
Gray 格雷(①姓氏,
POP (Point
Mister n
P 下午,
jewish 
NAP 网络存取定价（=network
PAD 1
blue n
specially 特别地,尤其是,,,
black 【名词】黑色，黑色的
